chunk_id,chunk_text,bertopic_topic_id,bertopic_topic_label,bertopic_topic_probability,sentence_start,sentence_end,sentence_count,char_count,word_count,is_empty_text,is_duplicate_text
21,"Can you imagine in 10 years? Can you imagine in 20 years? For this, we are forced to build a giant sea wall 480 kilometers in length.",0,"Topik Semantik 0: they, general, let",0.6664661278927102,61,63,3,133,27,False,False
22,"It will take us maybe 20 years, but we have no choice. We have to start now. Therefore we choose to confront climate change - not by slogans, but by immediate steps.",0,"Topik Semantik 0: they, general, let",0.6246955403810299,64,66,3,165,32,False,False
23,"We are committed to meeting our 2015 Paris Agreement obligations. We aim to achieve net zero emission by 2060 and we are very confident we can achieve net zero emission much earlier. We aim to reforest more than 12 million hectares of degraded forest, to reduce forest degradation, to empower local communities with quality green jobs for the future.",0,"Topik Semantik 0: they, general, let",0.60369533890307,67,69,3,350,59,False,False
24,"Indonesia is shifting decisively from fossil fuel based development towards renewable based development. From next year, most of our additional power generation capacity will come from renewables. Our goal is clear: To lift all of our citizens out of poverty and make Indonesia a hub for solutions to food, energy, and water security.",1,Peran Indonesia dalam Diplomasi Internasional,0.5554845378525225,70,72,3,334,53,False,False
25,"Madam President, excellencies, We live in a time when hatred and violence can seem to be the loudest voices. But beneath this loud noise lies a quieter truth: That every person longs to be safe, to be respected, to be loved, and to leave a better world to their children. Our children are watching.",0,"Topik Semantik 0: they, general, let",0.3072664255909584,73,75,3,298,54,False,False
26,"They are learning leadership not from textbooks, but from our choices. Today, still, a catastrophic situation in Gaza is unfolding before our eyes. At this very moment, the innocent are crying for help and are crying to be saved.",0,"Topik Semantik 0: they, general, let",0.27322729097697035,76,78,3,229,39,False,False
27,Who will save them? Who will save the innocent. Who will save the old and women?,0,"Topik Semantik 0: they, general, let",0.24738011654908126,79,81,3,80,16,False,False
28,"Millions are facing danger at this very moment, as we sit here. They are facing trauma. They are facing irreparable damage to their bodies.",0,"Topik Semantik 0: they, general, let",0.2456715979856051,82,84,3,139,24,False,False
29,They are dying of starvation. Can we remain silent? Will there be no answer to their screams?,0,"Topik Semantik 0: they, general, let",0.27877044076562557,85,87,3,93,17,False,False
30,"Will we teach them that the human family can rise to the challenge? Madam President, We must act now, many speakers have said that. We must stand for a multilateral order where peace, prosperity, and progress are not the privilege of a few but the right of all.",0,"Topik Semantik 0: they, general, let",0.322730781372868,88,90,3,261,48,False,False
31,"With a strong United Nations, we can build a world where the weak do not “suffer what they must,” but live the justice that they deserve. Let us continue humanity’s great journey of ideals - the selfless aspirations that created the United Nations. Let us use science to uplift, not use science to destroy.",0,"Topik Semantik 0: they, general, let",0.33175838973117183,91,93,3,306,54,False,False
32,"Let rising nations help others to live themself. I am convinced that the leaders of the great world civilisations: civilisations of the West, civilisations of the East, of the North, of the South, leaders of America, Europe, of India, China, the Islamic world, the whole world, I am convinced that they will rise to their role demanded by history. We are all hopeful that the leaders of the world will show great statesmanship, great wisdom, restraint, humility, overcome hate, overcome suspicion.",0,"Topik Semantik 0: they, general, let",0.3276399248084725,94,96,3,497,81,False,False
33,"Madam President, distinguished delegates, We are greatly heartened by the events of the last few days where significant leading countries of the world have chosen to side with history, to choose the right side of history - the path of the moral high ground, the path of rectitude, the path of justice, the path of humanity, to shun hatred, to overcome suspicion and to avoid the use of violence. The use of violence will be get violence. No one country can bully the whole Community of the human family.",0,"Topik Semantik 0: they, general, let",0.29733649108521076,97,99,3,503,89,False,False
34,"We may be weak individually, but the sense of oppression, the sense of Injustice, has proven in the history of mankind that this sense of injustice. This sense of oppression will unite in a strong force that will overcome this oppression, that will overcome this injustice. To close, I would like to reiterate again Indonesia’s complete support for the Two State-Solution in Palestine.",1,Peran Indonesia dalam Diplomasi Internasional,0.38385609666675263,100,102,3,385,63,False,False
35,"We must have an independent Palestine, but we must also, we must also recognize, we must also respect, and we must also guarantee the safety and security of Israel. Only then, we can have real peace, real peace, and no longer hate and no longer suspicion. The only solution is this, two state-solution.",1,Peran Indonesia dalam Diplomasi Internasional,0.5706841044097302,103,105,3,302,53,False,False
36,"Two descendants of Abraham must live in reconciliation, peace and harmony. Arabs, Jews, Muslims, Christians, Hindus, Buddhists, all religions, we must live as one human family. Indonesia is committed to being part of making this vision a reality.",1,Peran Indonesia dalam Diplomasi Internasional,0.5973681223128691,106,108,3,246,38,False,False
37,"Is this a dream? Maybe, but this is the beautiful dream that we must work together towards. Let us work towards this noble goal.",0,"Topik Semantik 0: they, general, let",1.0,109,111,3,128,24,False,False
38,Let us continue humanity’s journey of hope - a journey started by our forefathers. A journey that we must complete. Thank you.,0,"Topik Semantik 0: they, general, let",1.0,112,114,3,126,22,False,False
39,"Wassalamu’alaikum warahmatullahi wabarakatuh, Syalom, Om santi santi santi om, Namo Buddhaya, Thank you very much. May God bless us all. May peace be upon us. Thank you very much.",0,"Topik Semantik 0: they, general, let",0.6098280410234762,115,118,4,179,29,False,False
